题号,标题,链接,核心思路,是否重点
542,542. 01 矩阵,https://leetcode.com/problems/01-matrix/,将所有零都加入队列，ret数组也都为0，bfs，找到所有next，如果遇到非0，还没遍历到（没赋值），ret 数组对应位置 curr +1，最后遍历整个数组后返回。,否
543,543. Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/,直径是左右子树最大深度相加，遍历树，返回深度。获得每个node的直径，全局变量比较拿到最大值,是
547,547. 省份数量,https://leetcode.com/problems/number-of-provinces/,遍历，将对应的union起来，最后返回count,否
567,567. Permutation in String,https://leetcode.com/problems/permutation-in-string/,和438类似，就是发现valid=need size后return true；,否
581,581. 最短无序连续子数组,https://leetcode.com/problems/shortest-unsorted-continuous-subarray/,将数组排序，找到左边不等于排序后的第一个元素，右边不等于排序后的第一个元素，right-left+1,否
583,583. Delete Operation for Two Strings,https://leetcode.com/problems/delete-operation-for-two-strings/,m+n-2*lcs,是
637,637. 二叉树的层平均值 🟢,https://leetcode.com/problems/average-of-levels-in-binary-tree,层序遍历,否
638,638. 大礼包,https://leetcode.com/problems/shopping-offers/,获取真的便宜的special，start to last special，看当前special能不能用，backtrack继续start开始，直到都不能用，按正常价格买剩余的，比价最小值,否
652,652. Find Duplicate Subtrees,https://leetcode.com/problems/find-duplicate-subtrees/,找到一个node的序列化 String，然后将string和出现次数放在一个map中，遍历tree。用后序遍历，可以节省,否
654,654. Maximum Binary Tree,https://leetcode.com/problems/maximum-binary-tree/,找到最大值的index，create root，然后构造左右子树,是
662,662. 二叉树最大宽度,https://leetcode.com/problems/maximum-width-of-binary-tree/,子节点的id = parent id*2，parent id*2+1，找到first，end，end-first+1,是
684,684. Redundant Connection,https://leetcode.com/problems/redundant-connection/,如果start，end是connected，就返回，否则就union,否
694,694. Number of Distinct Islands,https://leetcode.com/problems/number-of-distinct-islands/,记录遍历方向，1，2，3，4，-1，-2，-3，4，做为一个string放在集合中,否
695,695. Max Area of Island,https://leetcode.com/problems/max-area-of-island/,待补充,否
700,700. Search in a Binary Search Tree,https://leetcode.com/problems/search-in-a-binary-search-tree/,待补充,否
701,701. Insert into a Binary Search Tree,https://leetcode.com/problems/insert-into-a-binary-search-tree/,如果比当前大，插入左边，当前小，插入右边，当前为null，构造节点。,否
704,704. Binary Search,https://leetcode.com/problems/binary-search/,两边都是闭，左右都+1，-1,否
712,712. Minimum ASCII Delete Sum for Two Strings,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/,"dp[n+1][m+1], dp[i][0] = dp[i-1][0]+char(i-1), dp[0][j] = dp[0][j-1]+char(j-1), if (char(i-1)==char(j-1)), dp[i][j] = d[i-1][j-1], else min (dp[i-1)[j] + char(i-1), dp[i][j-1] + char(j-1))",否
713,713. 乘积小于 K 的子数组,https://leetcode.com/problems/subarray-product-less-than-k/,符合right-left的window，就有right-left中组合，相加,否
718,718. Maximum Length of Repeated Subarray,https://leetcode.com/problems/maximum-length-of-repeated-subarray/description/,待补充,否
739,739. Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,在stack中放index,是
740,740. 删除并获得点数,https://leetcode.com/problems/delete-and-earn/,"dp[10000], sum same number, dp[i] = max(nums[i]+dp[i-2], dp[i-1])",否
752,752. Open the Lock,https://leetcode.com/problems/open-the-lock/,做最少路径的，一般用广度优先。将start放入队列，step =0，遍历队列，如果和目的相同，返回，否则，找到下一个（过滤掉dead的），过滤掉已经viist到的，然后加入队列，step++，,否
773,773. Sliding Puzzle,https://leetcode.com/problems/sliding-puzzle/,还是广度优先，将start变成一个字符串，step = 0，放入队列，遍历当前队列中的值，如果是end状态，结束，否则找到下一个状态，过滤掉visited，然后加入队列，step++,否
784,784. 字母大小写全排列,https://leetcode.com/problems/letter-case-permutation/,全排列，preString，preString到最后，加入res list，index，当前字符，如果是字符，大写，小写，index++。否则直接往下。,否
785,785. Is Graph Bipartite?,https://leetcode.com/problems/is-graph-bipartite/,都是二分图，着色。visited，判断两个节点是不是同颜色，没visited，那么着反色。,否
791,791. Custom Sort String,https://leetcode.com/problems/custom-sort-string/description/,将每个字符的数量纪录下来，用order的顺序append字符，并且将count降为0，然后再将技术不为0的char append到最后,否
841,841. 钥匙和房间,https://leetcode.com/problems/keys-and-rooms/,将零加入队列，取出队列元素，room[i]做为next rooms，用visited记录访问过的房间，未访问过的加入队列，直到队列为0，遍历，看看还有没有未访问过的room，return,否
853,853. 车队,https://leetcode.com/problems/car-fleet/,将车队按照位置排序，然后算出时间，如果位置在前，时间短的，会追上，最后从尾找递增数组个数,否
863,863. 二叉树中所有距离为 K 的结点,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/,将子节点，父节点看作是一个图，先traverse，拿到node，parent的map，然后从开始节点开始便利，step=0，加入队列，遍历当前队列之，如果level达到k，将结果放入list，否则，将子节点，父节点发放入队列（过滤掉visited）。,否
867,867. 转置矩阵,https://leetcode.com/problems/transpose-matrix/,构造一个新的m*n 数组,否
875,875. Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,"函数，某个速度下，花几小时吃掉香蕉，left =1，right=piles的最大值 10^9, 二分查询找left边界410，函数，某个最大值下，可以分为几个数组，left=max，right=sum，二分查询找left 边界，",否
876,876. Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list/,快慢指针,否
877,877. Stone Game,https://leetcode.com/problems/stone-game/,永远是true，看准奇数或者偶数堆。,否
886,886. Possible Bipartition,https://leetcode.com/problems/possible-bipartition/,都是二分图，着色。visited，判断两个节点是不是同颜色，没visited，那么着反色。,否
889,889. Construct Binary Tree from Preorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal/,"preorder，prestart是root，prestart+1去找postorder的index，找到左边个数，构造左右子树114，分解问题，将左右子树都flatten，然后root.left = null, root.right = 左叶子，找到左子树最后一个节点，将右子树拼上去。",否
894,894. 所有可能的满二叉树,https://leetcode.com/problems/all-possible-full-binary-trees/,先计算n=1，用memo记录每层的结果，然后第n层，可以分解为i，j，为左右子树，可以不同组合相乘，new root，返回结果。,否
895,895. 最大频率栈,https://leetcode.com/problems/maximum-frequency-stack/,记录最大freq，记录val to freq map，记录freq对应的stack。push的时候改频率，改map，压栈，如果最大freq变了，改最大freq，pop的时候用最大freq来找stack，找val，该map，如果最大freq变了，改freq。,是
901,901. 股票价格跨度,https://leetcode.com/problems/online-stock-span/,单调栈，记录value和天数，当挤掉比你小的，需要将对应天数加上,否
909,909. Snakes and Ladders,https://leetcode.com/problems/snakes-and-ladders/description/,****i = n-1 - （index-1）/n，j=（index-1）/n %2 ==0？ （index-1）%n：n-1-（index-1）%n， bfs，index=1，index+1 -》index+6，找到对应值，如果是-1，放index 到queue，否则放对应的值到queue，如果index》=n*n，返回step，不然step++，用一个visited记录已经便利过的。,否
919,919. 完全二叉树插入器,https://leetcode.com/problems/complete-binary-tree-inserter/,通过层序遍历（广度优先），如果当前节点左右子节点为null，加入插入队列。插入操作，从插入队列中取出值，加入当前node，如果左右都不是null，将这个节点移除插入队列。将当前node加入插入队列。,是
924,924. 尽量减少恶意软件的传播,https://leetcode.com/problems/minimize-malware-spread/,先排序，对起始节点做bfs，找到所有集合，如果没有其他其实节点，就可以是一个candidate，最后比较最大的集合。,是
931,931. Minimum Falling Path Sum,https://leetcode.com/problems/minimum-falling-path-sum/,从第一行开始算，比较上一行三个方向的值，往下计算。,否
933,933. 最近的请求次数,https://leetcode.com/problems/number-of-recent-calls/,用一个队列，将超时的都poll了,否
947,947. 移除最多的同行或同列石头,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/,二维遍历，将同行或者同列的union起来，最后石头个数-count,否
958,958. 二叉树的完全性检验 🟠,https://leetcode.com/problems/check-completeness-of-a-binary-tree,如果出现null，那么一直是null,否
967,967. 连续差相同的数字,https://leetcode.com/problems/numbers-with-same-consecutive-differences/,backtrack，从第一位开始，,否
973,973. K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin/description/,将x*x+y*y进行排序，取出前K个，可以用Priority Queue，好处是可以streaming,否
977,977. 有序数组的平方,https://leetcode.com/problems/squares-of-a-sorted-array/,left，right,否
980,980. 不同路径 III,https://leetcode.com/problems/unique-paths-iii/,找到start，统计一共要走多少步，dfs，用used记录走过的，记录当前步数，当当前步数和总步数 相同，切为2时+1/,否
986,986. Interval List Intersections,https://leetcode.com/problems/interval-list-intersections/description/,"记录firstIndex，secondIndex，如果first end < another start, first ++, 反之 second end < first start, second++，取max first，min end，append到result中，那个end，对应的index++，直到某个index hit到最后。",否
988,988. 从叶结点开始的最小字符串,https://leetcode.com/problems/smallest-string-starting-from-leaf/,遍历（node和前缀），记录最小string，当left=right=null，判断当前的string是不是比记录的小，然后left，right遍历，最后返回结果,否
990,990. Satisfiability of Equality Equations,https://leetcode.com/problems/satisfiability-of-equality-equations/,如果是==，那么union，再遍历！=，如果是conneted，那返回false，最后返回true,是
994,994. 腐烂的橘子,https://leetcode.com/problems/rotting-oranges/,bfs，将所有2放入队列，step=1，从1变成2，四个方向前进，step++，直到没有路，遍历发现还有没有1. 最后应该是step-1，因为一开始2的不算step,否
996,996. 平方数组的数目,https://leetcode.com/problems/number-of-squareful-arrays/,"全排列，将数字排序，用used来记录使用的，list，将list.size==nums.length做为计数,for 0-length，用used来剪枝，用i-1=i 以及i-1 not used来剪枝，用平方数来剪枝。",否
998,998. 最大二叉树 II,https://leetcode.com/problems/maximum-binary-tree-ii/,root为null，new root返回，如果root.val 小于val，new root，right为旧root，返回，如果大于，root.right = 往下递归,否
1004,1004. 最大连续1的个数 III,https://leetcode.com/problems/max-consecutive-ones-iii/,如果right-left-1个数>k就需要移动left，记录max,否
1011,1011. Capacity To Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,函数，某个载重下，花几天送达所有包袱，left = max weights，right =sum weights，二分查询找left 边界,否
1019,1019. 链表中的下一个更大节点,https://leetcode.com/problems/next-greater-node-in-linked-list/,遍历列表放在array中，然后用单调栈解决,否
1020,1020. Number of Enclaves,https://leetcode.com/problems/number-of-enclaves/,先将边上的岛屿填平，然后计算1的个数,否
1022,1022. 从根到叶的二进制数之和,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers/,遍历，（node和前缀值），当left=right=null，加到res中，然后left，right 遍历，最后返回结果1457，用int[10]记录每个数字出现个数，回文序列不能出现2个以上的奇数的数字。遍历，当left=right=null，判断是不是回文序列，再left，right遍历，最后将当前数字 count—,否
1024,1024. Video Stitching,https://leetcode.com/problems/video-stitching/,按照begin从小到大排序，end从大到小排序，begin需要等于0，然后是最大的end，再看begin《end的那些中的最大,是
1038,1038. Binary Search Tree to Greater Sum Tree,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree/,中序遍历，从right到left，sum全局,是
1049,1049. Last Stone Weight II,https://leetcode.com/problems/last-stone-weight-ii/description/,背包问题，找到一半重量，然后看能不能不知道一个set离一般重量最接近，最后的结果是总重量-set重量*2， 0-n石头，一半重量到0，第i个石头可以选择用还是不用。,是
1091,1091. 二进制矩阵中的最短路径,https://leetcode.com/problems/shortest-path-in-binary-matrix/,如果0，0不是0，将0，0加入队列，取出队列curr，判断是不是n-1，n-1，如果不是，找8个方向candidate，去除越界的，去除非0的，去除visited，将其加入队列。直到队列为空，返回-1,否
1094,1094. Car Pooling,https://leetcode.com/problems/car-pooling/,"i=first-1，j=end-1, increase val,",是
1109,1109. Corporate Flight Bookings,https://leetcode.com/problems/corporate-flight-bookings/,最多1001个车站，每个车站的capacity要小于capacity，i=first，j=end-1,否
1110,1110. 删点成林,https://leetcode.com/problems/delete-nodes-and-return-forest/,"将delete node变成一个set，traverse，是不是有parent，node，如果node在deleteset中，needdelete=true，!needdelete && !hasparent,加入result，node.left = 遍历left，node.right =遍历right，最后根据是不是要delete，返回null或者node",否
1143,1143. Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,"dp[n+1][m+1], if char(i-1)==char(j-1),  dp[i][j] = dp[i-1][j-1]+1 else max(dp[i-1][j], dp[i][j-1]), return dp[n][m]",否
1161,1161. 最大层内元素和,https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree/,层序遍历,否
1201,1201. Ugly Number III,https://leetcode.com/problems/ugly-number-iii/,通过最小公倍数，来找到个数，a+b+c-ab-ac-bc+abc，然后用二分查找来逼近,是
1219,1219. 黄金矿工,https://leetcode.com/problems/path-with-maximum-gold/,dfs 遍历，加visited,否
1249,1249. Minimum Remove to Make Valid Parentheses,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/description/,用stack，遇到（，将当前位置压入stack，如果遇到），如果stack为空，那么将当前位置加入delete list，否则pop，遍历完后，将stack中的元素加入delete list，去除deletelist元素 返回数组。,是
1254,1254. Number of Closed Islands,https://leetcode.com/problems/number-of-closed-islands/,还是将边上岛屿填平，然后遍历，找到0，便利上下左右填平，++。,否
1260,1260. 二维网格迁移,https://leetcode.com/problems/shift-2d-grid/,将二维转成一维，先reverse，再分别reverse,否
1262,1262. Greatest Sum Divisible by Three,https://leetcode.com/problems/greatest-sum-divisible-by-three/description/,"dp0=0, dp1=MIN_VALUE, dp2=MIN_VALUE, 分别是被3除，余0，1，2的最大值，然后newdpi=（dpj+nums），dpi = max（newdpi，dpi）",否
1302,1302. 层数最深叶子节点的和 🟠,https://leetcode.com/problems/deepest-leaves-sum,层序遍历,否
1306,1306. 跳跃游戏 III,https://leetcode.com/problems/jump-game-iii/,step=0，将当前下标加入队列，取出队列元素curr，如果等于target，返回step，+-arr[curr]，如果不超过边界，加入队列，step++,否
1329,1329. 将矩阵按对角线排序,https://leetcode.com/problems/sort-the-matrix-diagonally/,用i-j做为key，构造list，倒排序，取最后一个元素构造新的数组,是
1361,1361. 验证二叉树,https://leetcode.com/problems/validate-binary-tree-nodes/,有一个入度为0，root，其余入度为1，从root出发，遍历left，right，用visited数组记录，判断是不是有环。,否
1457,1457. 二叉树中的伪回文路径,https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree/,待补充,否
1475,1475. 商品折扣后的最终价格,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop/,先单调栈找到下一个更小数，然后相减,否
1514,1514. 概率最大的路径,https://leetcode.com/problems/path-with-maximum-probability/,将当前最大概率*到下一个的概率，如果大于dijikstra数组，那替换，加入PriorityQueue（从大到小）。到end点，取出值。,否
1539,1539. Kth Missing Positive Number,https://leetcode.com/problems/kth-missing-positive-number/description/,"从p1=1开始计数，index为0，如果p1 == nums[index], index++, 不然count++，p1总是++，直到 count==k, 或者index到底，如果count <k, 那么再加 k-count，返回p1-1",是
1584,1584. Min Cost to Connect All Points,https://leetcode.com/problems/min-cost-to-connect-all-points/,二维遍历，记录所有距离，从小到大排序，如果当前两个点connected，那么skip，不然union起来，加在总距离中。最后返回总距离。,否
1593,1593. 拆分字符串使唯一子字符串的数目最大,https://leetcode.com/problems/split-a-string-into-the-max-number-of-unique-substrings/,记录分好的字符串，从当前index到最大，判断是不是包含，未包含往下递归。到最后比较size。取最大的。,是
1609,1609. 奇偶树 🟠,https://leetcode.com/problems/even-odd-tree,待补充,否
1631,1631. 最小体力消耗路径,https://leetcode.com/problems/path-with-minimum-effort/,当前的最小体力消耗，和下一个的消耗比较，取max，如果小于dijikstra数组，那替换，加入PriorityQueue（从小到大），遍历到最下面，取出值,是
1644,1644. Lowest Common Ancestor of a Binary Tree II,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-ii/,通过findQ，findP记录两个都找到了，后序遍历，如果left，right都非空，返回node，如果node的值为p，返回node，findQ为true，返回left，right中非空的一个。,否
1650,1650. Lowest Common Ancestor of a Binary Tree III,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/,通过parent形成链表，找到链表的交叉点，可以将两个链表相连。,否
1658,1658. 将 x 减到 0 的最小操作数,https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero/,求和-target，找到符合要求的最大数组，反之就是最小操作数,否
1676,1676. Lowest Common Ancestor of a Binary Tree IV,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iv/,node.val包含在nodes中，返回node，否则find right，find left，都非空，返回node，否则返回非空的,否
1723,1723. 完成所有工作的最短时间,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs/,和2305是一样的， 考虑对工作进行遍历，回溯哦，for 1-n （worker），剪枝，如果工作时间超过了之前的一个解，如果当前的工作量已经有之前的工人一样的了（job只要完成时不care具体工人的），给这个工作给当前工人，往下，回溯，不给这个工作。,是
1849,1849. 将字符串拆分为递减的连续值,https://leetcode.com/problems/splitting-a-string-into-descending-consecutive-values/,记录拆好的list，从当前index到最后，剪枝，不是递减为1，长度大于一半，,否
1905,1905. Count Sub Islands,https://leetcode.com/problems/count-sub-islands/,那些第一个grid为0，第一个为1的岛屿填平，然后计算数量,否
1926,1926. 迷宫中离入口最近的出口,https://leetcode.com/problems/nearest-exit-from-entrance-in-maze/,将当前node加入队列，step=0，取出队列curr，判断是不是出口（到边界并且不是start），如果不是，找到四个方向candidate，过滤掉越界的，去掉墙，去掉visited，加入队列，step++，直到队列为空，返回-1,否
1944,1944. 队列中可以看到的人数,https://leetcode.com/problems/number-of-visible-people-in-a-queue/,就是栈里面元素的个数，单调栈放比你矮的人,是
2073,2073. 买票需要的时间,https://leetcode.com/problems/time-needed-to-buy-tickets/,排在前面的人，最多买到tickets[k]张票，之后的人最多买到tickets[k]-1的票,否
2101,2101. 引爆最多的炸弹,https://leetcode.com/problems/detonate-the-maximum-bombs/,根据点和点距离和爆炸距离判断联通关系，构造有向图。然后bfs遍历所有节点，找到最多连接的那个。,否
2140,2140. 解决智力问题,https://leetcode.com/problems/solving-questions-with-brainpower/,"dp[i] = max(dp[i+step+1]+power, dp[i+1])",是
2305,2305. 公平分发饼干,https://leetcode.com/problems/fair-distribution-of-cookies/,待补充,否
2320,2320. 统计放置房子的方式数,https://leetcode.com/problems/count-number-of-ways-to-place-houses/,"dp[i] = dp[i-1] + dp[i-2], dp[i]*dp[i] % base",否
2611,2611. 老鼠和奶酪,https://leetcode.com/problems/mice-and-cheese/,"order reward1[i]-reward2[i], find k max, use reward1, else reward2, sum.",否
